codigo,nombre,zona_codigo,direccion,lat,lng,geo_estado,ventana_inicio,ventana_fin,tiempo_servicio_min,contacto,telefono,ejecutivo,credito_bloqueado,zoho_account_id
C011,Colegio Javier,CENTRO,"Colegio Javier, Ancón, Distrito de Panamá, Provincia de Panamá, 0818, Panamá",9.004385,-79.560305,automatica,07:30,09:00,20,Recepción / Almacén,+507 6160-3028,Gabriel Ruiz,False,zcrm_4870011
C012,Universidad de Panamá · Campus Central,CENTRO,Universidad de Panamá campus central,8.984,-79.532,aproximada,08:00,12:00,25,Recepción / Almacén,+507 6328-2013,Sofía Lam,False,zcrm_4870012
C013,Súper 99 · Calidonia,CENTRO,"Super 99, Avenida Central, Calidonia, Panamá, Calidonia, Distrito de Panamá, Provincia de Panamá, 0843, Panamá",8.966356,-79.540194,automatica,,,25,Recepción / Almacén,+507 6690-7499,Gabriel Ruiz,False,zcrm_4870013
C014,Supermercados Xtra · Juan Díaz,ESTE,"Xtra, Avenida José Agustín Arango, El Laurel Villa Venus, San Pedro, Juan Díaz, Distrito de Panamá, Provincia de Panamá, Panamá",9.044215,-79.451186,automatica,,,25,Recepción / Almacén,+507 6150-4622,Gabriel Ruiz,False,zcrm_4870014
C015,Novey · Los Pueblos,ESTE,Novey Los Pueblos Panamá,9.04,-79.44,aproximada,,,15,Recepción / Almacén,+507 6147-3181,Sofía Lam,True,zcrm_4870015
C016,Do It Center · Costa del Este,ESTE,Do It Center Costa del Este,9.01,-79.47,aproximada,08:00,10:00,20,Recepción / Almacén,+507 6396-7867,Gabriel Ruiz,False,zcrm_4870016
C017,Riba Smith · Costa del Este,ESTE,"Riba Smith, Avenida Marina Norte, Costa del Este, Campo Lindbergh, Juan Díaz, Distrito de Panamá, Provincia de Panamá, Panamá",9.023703,-79.462354,automatica,,,25,Recepción / Almacén,+507 6247-9858,Sofía Lam,False,zcrm_4870017
C018,PowerClub · Costa del Este,ESTE,PowerClub Costa del Este,9.0085,-79.475,aproximada,,,15,Recepción / Almacén,+507 6220-6054,Gabriel Ruiz,False,zcrm_4870018
C019,Súper 99 · Villa Lucre,ESTE,"Super 99, Avenida Rafael E. Alemán, Villa Lucre, José Domingo Espinar, San Miguelito, Panamá, Provincia de Panamá, 0801, Panamá",9.04152,-79.478384,dudosa,,,25,Recepción / Almacén,+507 6673-3961,Sofía Lam,False,zcrm_4870019
C020,Pío Pío · Juan Díaz,ESTE,"Pio Pio, Calle 114 Este, Campo Lindbergh, Juan Díaz, Distrito de Panamá, Provincia de Panamá, 0801, Panamá",9.031695,-79.474223,automatica,,,15,Recepción / Almacén,+507 6205-4078,Gabriel Ruiz,False,zcrm_4870020
C021,Metromall · Administración,ESTE,"Metromall, Avenida Domingo Díaz, Rufina Alfaro, San Miguelito, Panamá, San Antonio, Provincia de Panamá, Panamá",9.052629,-79.451665,automatica,13:00,16:00,20,Recepción / Almacén,+507 6481-2596,Sofía Lam,False,zcrm_4870021
C022,Felipe Motta · Costa del Este,ESTE,Felipe Motta Costa del Este,9.012,-79.465,aproximada,,,15,Recepción / Almacén,+507 6660-2028,Gabriel Ruiz,False,zcrm_4870022
C023,Crowne Plaza Aeropuerto Tocumen,NORTE,"Crowne Plaza, Avenida Domingo Díaz, Tocumen, Distrito de Panamá, Provincia de Panamá, Panamá",9.069931,-79.394037,automatica,,,20,Recepción / Almacén,+507 6677-1976,Gabriel Ruiz,False,zcrm_4870023
C024,Súper 99 · Tocumen,NORTE,"Super 99, Carretera Panamericana, Sector 3, Tocumen, Distrito de Panamá, Provincia de Panamá, Panamá",9.103738,-79.369163,automatica,,,25,Recepción / Almacén,+507 6733-4374,Sofía Lam,False,zcrm_4870024
C025,Centro Comercial Los Andes · Administración,NORTE,"Centro Comercial Los Andes N°1, Vía Principal Los Andes N°1 y La Nueve de Enero, Los Andes N° 1, Amelia Denis de Icaza, San Miguelito, Panam",9.040851,-79.508946,automatica,,,20,Recepción / Almacén,+507 6608-9711,Gabriel Ruiz,False,zcrm_4870025
C026,El Machetazo · 24 de Diciembre,NORTE,"El Machetazo, Carretera Panamericana, Megamall, Pradera Azul, 24 de Diciembre, Distrito de Panamá, Provincia de Panamá, Panamá",9.100957,-79.355543,automatica,07:00,10:00,25,Recepción / Almacén,+507 6537-6146,Sofía Lam,False,zcrm_4870026
C027,Farmacias Metro · Las Cumbres,NORTE,Farmacias Metro Las Cumbres Panamá,9.105,-79.525,aproximada,,,10,Recepción / Almacén,+507 6576-8424,Gabriel Ruiz,False,zcrm_4870027
C028,Cochez · Tocumen,NORTE,"Cochez | Tocumen, Avenida Domingo Díaz, Las Mañanitas, Distrito de Panamá, Provincia de Panamá, Panamá",9.068808,-79.40887,automatica,,,15,Recepción / Almacén,+507 6470-5911,Sofía Lam,False,zcrm_4870028
C029,El Machetazo · Arraiján,OESTE,"El Machetazo, Avenida Hato Montaña, Villa Diana, Nuevo Arraiján, Arraiján, Panamá Oeste, 1015, Panamá",8.916153,-79.743386,automatica,,,25,Recepción / Almacén,+507 6354-3945,Gabriel Ruiz,False,zcrm_4870029
C030,Westland Mall · Administración,OESTE,"Westland Mall, Nuevo Arraiján, Arraiján, Panamá Oeste, Panamá",8.921816,-79.705276,automatica,10:00,12:00,20,Recepción / Almacén,+507 6815-4999,Sofía Lam,False,zcrm_4870030
C031,Súper 99 · La Chorrera,OESTE,"Super 99, Calle 42 Norte, El Coco, La Chorrera, Panamá Oeste, 1015, Panamá",8.873887,-79.795199,automatica,,,25,Recepción / Almacén,+507 6183-5919,Gabriel Ruiz,False,zcrm_4870031
C032,Farmacias Arrocha · La Chorrera,OESTE,"Arrocha, Boulevard Costa Verde, La Chorrera, Panamá Oeste, 1015, Panamá",8.893925,-79.751102,automatica,,,15,Recepción / Almacén,+507 6637-9111,Sofía Lam,False,zcrm_4870032
C033,Novey · Arraiján,OESTE,"Novey, Avenida Hendrikson, Panamá Pacífico, Veracruz, Arraiján, Panamá Oeste, Panamá",8.917863,-79.593413,automatica,,,15,Recepción / Almacén,+507 6996-6627,Gabriel Ruiz,False,zcrm_4870033
C034,Hospital Nicolás A. Solano · La Chorrera,OESTE,"Salud Hospital Regional De La Chorrera (Nicolas Solano), Avenida Mariano Rivera, Residencial Vista Mar, La Chorrera, Panamá Oeste, 1015, Pan",8.865506,-79.766762,automatica,08:00,12:00,30,Recepción / Almacén,+507 6846-8353,Sofía Lam,False,zcrm_4870034
C035,Pío Pío · Arraiján,OESTE,"Pío Pío, Carretera Panamericana, Residencial Vista Alegre, Nuevo Arraiján, Arraiján, Panamá Oeste, Panamá",8.927707,-79.726716,automatica,,,10,Recepción / Almacén,+507 6394-2199,Gabriel Ruiz,False,zcrm_4870035
C036,Do It Center · La Chorrera,OESTE,"Do It Center, Boulevard Costa Verde, La Chorrera, Panamá Oeste, 1015, Panamá",8.894628,-79.751574,automatica,,,15,Recepción / Almacén,+507 6220-9387,Sofía Lam,False,zcrm_4870036
